study_id	efo_trait	reported_trait	initial_sample	replication_sample	snp_count	publication_date	pubmed_id	title	publication
GCST90041939	clinical treatment	Treatment or medication use - enalapril maleate+hydrochlorothiazide 20mg/12.5mg tablet (UKB data field 20003_1140860790)	123 European ancestry cases, 456,153 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041970	clinical treatment	Treatment or medication use - phyllocontin continus 225mg m/r tablet (UKB data field 20003_1140862266)	161 European ancestry cases, 456,115 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041974	clinical treatment	Treatment or medication use - beclazone 50 inhaler (UKB data field 20003_1140862476)	1,306 European ancestry cases, 454,970 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041985	clinical treatment	Treatment or medication use - diazepam (UKB data field 20003_1140863152)	1,247 European ancestry cases, 455,029 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041994	clinical treatment	Treatment or medication use - combivent inhaler (UKB data field 20003_1140864734)	190 European ancestry cases, 456,086 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90041997	clinical treatment	Treatment or medication use - lisinopril+hydrochlorothiazide 10mg/12.5mg tablet (UKB data field 20003_1140864952)	145 European ancestry cases, 456,131 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042000	clinical treatment	Treatment or medication use - viscotears liquid eye gel (UKB data field 20003_1140865010)	1,024 European ancestry cases, 455,252 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042025	clinical treatment	Treatment or medication use - creon e/c granules in capsule (UKB data field 20003_1140866026)	242 European ancestry cases, 456,034 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042047	clinical treatment	Treatment or medication use - prochlorperazine (UKB data field 20003_1140868170)	634 European ancestry cases, 455,642 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042051	clinical treatment	Treatment or medication use - prednisone (UKB data field 20003_1140868364)	277 European ancestry cases, 455,999 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042058	clinical treatment	Treatment or medication use - vagifem 25mcg pessary (UKB data field 20003_1140868472)	1,246 European ancestry cases, 246,262 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042093	clinical treatment	Treatment or medication use - calcichew d3 tablet (UKB data field 20003_1140871050)	4,421 European ancestry cases, 451,855 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042147	clinical treatment	Treatment or medication use - nabumetone (UKB data field 20003_1140875336)	204 European ancestry cases, 456,072 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042167	clinical treatment	Treatment or medication use - diprobase cream (UKB data field 20003_1140878226)	732 European ancestry cases, 455,544 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042175	clinical treatment	Treatment or medication use - alverine (UKB data field 20003_1140879424)	270 European ancestry cases, 456,006 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042201	clinical treatment	Treatment or medication use - gamolenic acid (UKB data field 20003_1140880072)	120 European ancestry cases, 456,156 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042215	clinical treatment	Treatment or medication use - paracetamol + codeine (UKB data field 20003_1140882394)	354 European ancestry cases, 455,922 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042217	clinical treatment	Treatment or medication use - diprosalic ointment (UKB data field 20003_1140882618)	190 European ancestry cases, 456,086 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042219	clinical treatment	Treatment or medication use - betnovate cream (UKB data field 20003_1140882694)	1,555 European ancestry cases, 454,721 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042235	clinical treatment	Treatment or medication use - selenium product (UKB data field 20003_1140883748)	1,383 European ancestry cases, 454,893 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042250	clinical treatment	Treatment or medication use - trimovate ointment (UKB data field 20003_1140884700)	282 European ancestry cases, 455,994 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042269	clinical treatment	Treatment or medication use - felodipine (UKB data field 20003_1140888646)	3,838 European ancestry cases, 452,438 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042271	clinical treatment	Treatment or medication use - betahistine (UKB data field 20003_1140888688)	1,373 European ancestry cases, 454,903 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042304	clinical treatment	Treatment or medication use - imigran 50mg tablet (UKB data field 20003_1140911658)	744 European ancestry cases, 455,532 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042307	clinical treatment	Treatment or medication use - slozem 120mg m/r capsule (UKB data field 20003_1140911698)	164 European ancestry cases, 456,112 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042310	clinical treatment	Treatment or medication use - ginkgo forte tablet (UKB data field 20003_1140911734)	2,584 European ancestry cases, 453,692 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042315	clinical treatment	Treatment or medication use - venlafaxine (UKB data field 20003_1140916282)	1,856 European ancestry cases, 454,420 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042316	clinical treatment	Treatment or medication use - efexor 37.5mg tablet (UKB data field 20003_1140916288)	227 European ancestry cases, 456,049 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042327	clinical treatment	Treatment or medication use - dicloflex 25mg e/c tablet (UKB data field 20003_1140921828)	544 European ancestry cases, 455,732 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042340	clinical treatment	Treatment or medication use - co-amilofruse (UKB data field 20003_1140923402)	443 European ancestry cases, 455,833 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042348	clinical treatment	Treatment or medication use - mycophenolate (UKB data field 20003_1140925978)	198 European ancestry cases, 456,078 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042371	clinical treatment	Treatment or medication use - minerals - magnesium (UKB data field 20003_1141145812)	1,003 European ancestry cases, 455,273 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042407	clinical treatment	Treatment or medication use - hydrocortisone product (UKB data field 20003_1141157294)	306 European ancestry cases, 455,970 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042409	clinical treatment	Treatment or medication use - prednisolone product (UKB data field 20003_1141157402)	159 European ancestry cases, 456,117 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042422	clinical treatment	Treatment or medication use - sinemet-62.5 tablet (UKB data field 20003_1141164872)	144 European ancestry cases, 456,132 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042460	clinical treatment	Treatment or medication use - levetiracetam (UKB data field 20003_1141171932)	193 European ancestry cases, 456,083 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042495	clinical treatment	Treatment or medication use - cozaar 25mg tablet (UKB data field 20003_1141179974)	504 European ancestry cases, 455,772 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042517	clinical treatment	Treatment or medication use - travatan 40micrograms/ml eye drops (UKB data field 20003_1141185326)	296 European ancestry cases, 455,980 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042531	clinical treatment	Treatment or medication use - avandamet 1mg / 500mg tablet (UKB data field 20003_1141189094)	169 European ancestry cases, 456,107 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042532	clinical treatment	Treatment or medication use - cipralex 5mg tablet (UKB data field 20003_1141190158)	407 European ancestry cases, 455,869 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042534	clinical treatment	Treatment or medication use - tramacet 325mg/37.5mg tablet (UKB data field 20003_1141190960)	148 European ancestry cases, 456,128 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042541	clinical treatment	Treatment or medication use - ezetimibe (UKB data field 20003_1141192736)	2,667 European ancestry cases, 453,609 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042547	clinical treatment	Treatment or medication use - allergy relief antihistamine 4mg tablet (UKB data field 20003_1141194224)	177 European ancestry cases, 456,099 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042551	clinical treatment	Treatment or medication use - hydroxycarbamide (UKB data field 20003_1141195044)	186 European ancestry cases, 456,090 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042555	clinical treatment	Treatment or medication use - pregabalin (UKB data field 20003_1141200004)	932 European ancestry cases, 455,344 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042558	clinical treatment	Treatment or medication use - solifenacin (UKB data field 20003_1141200322)	701 European ancestry cases, 455,575 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042565	clinical treatment	Treatment or medication use - omega-3/fish oil supplement (UKB data field 20003_1193)	17,179 European ancestry cases, 439,097 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042591	vitamin supplement exposure measurement	Vitamin and/or mineral supplement use: Evening primrose (UKB data field 20084_474)	2,927 European ancestry cases, 61,074 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042621	fat intake measurement	Type of fat/oil used in cooking: Rapeseed oil (UKB data field 20090_356)	1,452 European ancestry cases, 62,549 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042626	fat intake measurement	Type of fat/oil used in cooking: Normal fat butter (UKB data field 20090_362)	4,644 European ancestry cases, 59,357 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042638	fat intake measurement	Type of fat/oil used in cooking: Normal fat polyunsaturated margarine (UKB data field 20090_374)	929 European ancestry cases, 63,072 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042685	family history/intestinal cancer	Illnesses of mother: Bowel cancer (UKB data field 20110_4)	21,763 European ancestry cases, 395,445 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042696	family history/prostate cancer	Illnesses of siblings: Prostate cancer (UKB data field 20111_13)	5,873 European ancestry cases, 350,300 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042700	family history of breast cancer	Illnesses of siblings: Breast cancer (UKB data field 20111_5)	16,344 European ancestry cases, 340,229 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042718	normal	Bipolar and major depression status: No Bipolar or Depression (UKB data field 20126_0)	78,501 European ancestry cases, 30,280 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042734	cognitive function measurement	Cognitive function - FI9 concept interpolation - long (UKB data field 20181)	20,381 European ancestry cases, 10,614 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042739	follicular lymphoma	Nodular lymphoma (PheCode 202.21)	394 European ancestry cases, 455,954 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042748	health study participation	Pairs matching completion status: PHESANT recoding (UKB data field 20244_2)	3,993 European ancestry cases, 107,565 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042803	leukemia	Leukemia (PheCode 204)	147 European ancestry cases, 456,201 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042819	body weight/unipolar depression	Weight change during worst episode of depression: Gained weight (UKB data field 20536_1)	12,349 European ancestry cases, 58,736 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042844	treatment/anxiety	Activities undertaken to treat anxiety: Other therapeutic activities such as mindfulness, yoga or art classes (UKB data field 20550_3)	7,213 European ancestry cases, 116,610 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042859	treatment/Self-injurious behavior	Actions taken following self-harm: Receive help from friends / family / neighbours (UKB data field 20554_6)	1,826 European ancestry cases, 145,507 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042860	benign neoplasm	Benign neoplasm of colon (PheCode 208)	19,026 European ancestry cases, 437,322 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042865	respiratory system neoplasm	Benign neoplasm of respiratory and intrathoracic organs (PheCode 212)	349 European ancestry cases, 455,999 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042866	bone neoplasm	Benign neoplasm of bone and articular cartilage (PheCode 213)	298 European ancestry cases, 456,050 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042867	lipoma	Lipoma of skin and subcutaneous tissue (PheCode 214.1)	5,217 European ancestry cases, 451,131 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042869	benign lipomatous neoplasm	Other benign neoplasm of connective and other soft tissue (PheCode 215)	1,023 European ancestry cases, 455,325 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042872	uterine fibroid	Uterine leiomyoma (PheCode 218.1)	7,187 European ancestry cases, 240,353 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042873	uterine neoplasm	Other benign neoplasm of uterus (PheCode 218.2)	225 European ancestry cases, 247,315 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042877	Genital neoplasm, female	Benign neoplasm of other female genital organs (PheCode 221)	171 European ancestry cases, 247,369 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042880	urogenital neoplasm	Benign neoplasm of kidney and other urinary organs (PheCode 223)	168 European ancestry cases, 456,180 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042883	deafness	Hearing difficulty/problems: I am completely deaf (UKB data field 2247_99)	106 European ancestry cases, 437,661 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042884	nervous system benign neoplasm	Benign neoplasm of brain, cranial nerves, meninges (PheCode 225.1)	709 European ancestry cases, 455,639 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042925	employment status	Job coding: sports centre manager, riding school owner, sports ground manager, baths manager (UKB data field 22601_12253140)	143 European ancestry cases, 112,135 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042930	employment status	Job coding: garage manager/proprietor (UKB data field 22601_12322938)	102 European ancestry cases, 112,176 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042931	employment status	Job coding: hairdressing or beauty salon manager or proprietor/owner (UKB data field 22601_12333358)	330 European ancestry cases, 111,948 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042939	employment status	Job coding: mining engineer in mining, water or natural gas/oil (UKB data field 22601_21212864)	128 European ancestry cases, 112,150 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042943	employment status	Job coding: mechanical engineer, automobile engineer, aeronautical engineer, locomotive or marine engineer, welding engineer (UKB data field 22601_21223040)	1,402 European ancestry cases, 110,876 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042954	employment status	Job coding: it strategy or planning professional, computer consultant, software consultant (UKB data field 22601_21313058)	2,212 European ancestry cases, 110,066 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042969	employment status	Job coding: registrar or senior administrator of educational establishment, bursar, registrar, university administrator (UKB data field 22601_23173422)	1,750 European ancestry cases, 110,528 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90042972	employment status	Job coding: scientific researcher, scientific officer, medical research associate, experimental officer (UKB data field 22601_23213026)	1,431 European ancestry cases, 110,847 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043004	employment status	Job coding: engineering technician, engineer's assistant, commissioning engineer, contracts engineer, technician engineer, industrial radiographer (UKB data field 22601_31133050)	1,120 European ancestry cases, 111,158 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043018	employment status	Job coding: chiropodist, podiatrist (UKB data field 22601_32153081)	156 European ancestry cases, 112,122 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043026	employment status	Job coding: community worker, day centre officer, youth leader, youth worker, parish worker, bail support officer (UKB data field 22601_32313110)	1,347 European ancestry cases, 110,931 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043062	employment status	Job coding: sales or marketing representative, manufacturer's agent or representative or salesman/woman (UKB data field 22601_35423237)	1,380 European ancestry cases, 110,898 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043067	employment status	Job coding: personnel or industrial relations officer, recruitment consultant (UKB data field 22601_35623213)	488 European ancestry cases, 111,790 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043086	employment status	Job coding: credit controller/supervisor (UKB data field 22601_41213252)	245 European ancestry cases, 112,033 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043088	employment status	Job coding: accounts and wages clerk/assistant/supervisor, bookkeeper, cost or ledger clerk, audit assistant, budget officer, student loans officer, paymaster (UKB data field 22601_41223253)	1,141 European ancestry cases, 111,137 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043089	employment status	Job coding: counter clerk, bank clerk, cashier, post office clerk (UKB data field 22601_41233254)	3,752 European ancestry cases, 108,526 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043103	employment status	Job coding: telephonist, telephone/switchboard operator (UKB data field 22601_41413308)	857 European ancestry cases, 111,421 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043106	employment status	Job coding: general office assistant/clerk, clerical officer, clerk-typist, office supervisor, press/newspaper corrector/reader (UKB data field 22601_41503307)	5,024 European ancestry cases, 107,254 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043121	employment status	Job coding: gardener, groundsman/groundswoman, park keeper, landscape gardener, greenkeeper, turf cutter (UKB data field 22601_51132488)	697 European ancestry cases, 111,581 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043122	employment status	Job coding: sheet metal worker, panel beater, metal finisher, coppersmith (UKB data field 22601_52132923)	172 European ancestry cases, 112,106 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043133	employment status	Job coding: motor mechanic, diesel fitter, auto engineer (UKB data field 22601_52312934)	677 European ancestry cases, 111,601 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043134	employment status	Job coding: vehicle body builder, coach builder, panel beater (UKB data field 22601_52322935)	115 European ancestry cases, 112,163 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043141	employment status	Job coding: computer engineer, computer service or maintenance technician (UKB data field 22601_52452948)	148 European ancestry cases, 112,130 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043155	employment status	Job coding: tailor, dressmaker, milliner (UKB data field 22601_54142880)	212 European ancestry cases, 112,066 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043175	employment status	Job coding: travel agent, travel agency/booking/reservations clerk, tour organiser (UKB data field 22601_62123369)	510 European ancestry cases, 111,768 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043231	employment status	Job coding: builder's labourer, building worker (UKB data field 22601_91212550)	152 European ancestry cases, 112,126 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043239	employment status	Job coding: other work in these industries: attendant, hand, mate, assistant, handler, loader (UKB data field 22601_91392859)	133 European ancestry cases, 112,145 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043241	employment status	Job coding: stores/warehouse porter (UKB data field 22601_91493354)	178 European ancestry cases, 112,100 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043265	noise exposure measurement	Workplace very noisy: PHESANT recoding (UKB data field 22606_2)	22,226 European ancestry cases, 91,007 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043274	environmental exposure measurement	Workplace very dusty: PHESANT recoding (UKB data field 22609_2)	12,167 European ancestry cases, 99,743 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043275	environmental exposure measurement	Workplace full of chemical or other fumes: Rarely/never (UKB data field 22610_0)	106,600 European ancestry cases, 6,211 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043276	environmental exposure measurement	Workplace full of chemical or other fumes: PHESANT recoding (UKB data field 22610_1)	27,207 European ancestry cases, 83,961 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043277	environmental exposure measurement	Workplace full of chemical or other fumes: PHESANT recoding (UKB data field 22610_2)	7,454 European ancestry cases, 103,298 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043281	asbestos exposure measurement	Worked with materials containing asbestos: Rarely/never (UKB data field 22612_0)	104,237 European ancestry cases, 2,678 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043283	asbestos exposure measurement	Worked with materials containing asbestos: PHESANT recoding (UKB data field 22612_2)	1,652 European ancestry cases, 93,648 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043285	environmental exposure measurement	Worked with paints, thinners or glues: PHESANT recoding (UKB data field 22613_1)	17,690 European ancestry cases, 93,414 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043292	environmental exposure measurement	Workplace had a lot of diesel exhaust: PHESANT recoding (UKB data field 22615_2)	4,413 European ancestry cases, 106,799 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043295	employment status	Job SOC coding: Senior officials in national government (UKB data field 22617_1111)	1,065 European ancestry cases, 112,776 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043340	employment status	Job SOC coding: Mechanical engineers (UKB data field 22617_2122)	1,978 European ancestry cases, 111,863 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043374	employment status	Job SOC coding: Quantity surveyors (UKB data field 22617_2433)	528 European ancestry cases, 113,313 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043384	employment status	Job SOC coding: Engineering technicians (UKB data field 22617_3113)	1,298 European ancestry cases, 112,543 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
GCST90043394	employment status	Job SOC coding: Paramedics (UKB data field 22617_3213)	122 European ancestry cases, 113,719 European ancestry controls	NA	11842647	2021-11-04	34737426	A generalized linear mixed model association tool for biobank-scale data.	Nat Genet
